;Unnamed: 10;descricao;discente;faltas_unidade;id_curso;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade
0;;APROVADO;bcd9e4d861acc00fac216bbe953c63b8;0.0;92127264.0;1239422;7.9;7.599999900000001;2.0;f;2.0
1;;APROVADO;bcd9e4d861acc00fac216bbe953c63b8;0.0;92127264.0;1239422;7.9;8.39999962;2.0;f;1.0
2;;APROVADO;bcd9e4d861acc00fac216bbe953c63b8;0.0;92127264.0;1239422;7.9;7.599999900000001;2.0;f;3.0
3;;CANCELADO;71ded068ae396ef3bb21c15219c4906b;0.0;92127264.0;1239422;;0.0;0.0;f;1.0
4;;CANCELADO;71ded068ae396ef3bb21c15219c4906b;0.0;92127264.0;1239422;;;0.0;f;2.0
5;;CANCELADO;71ded068ae396ef3bb21c15219c4906b;0.0;92127264.0;1239422;;;0.0;f;3.0
6;;CANCELADO;adbe26ddc8bc24ae4ea69b38868715eb;0.0;92127264.0;1239422;;0.0;0.0;f;1.0
7;;CANCELADO;adbe26ddc8bc24ae4ea69b38868715eb;0.0;92127264.0;1239422;;;0.0;f;2.0
8;;CANCELADO;adbe26ddc8bc24ae4ea69b38868715eb;0.0;92127264.0;1239422;;;0.0;f;3.0
9;;APROVADO;6743ec9f956d78b32903e6523de6435e;0.0;92127264.0;1239422;7.2;6.599999900000001;7.0;f;1.0
10;;APROVADO;6743ec9f956d78b32903e6523de6435e;0.0;92127264.0;1239422;7.2;5.69999981;7.0;f;2.0
11;;APROVADO;6743ec9f956d78b32903e6523de6435e;0.0;92127264.0;1239422;7.2;9.30000019;7.0;f;3.0
12;;APROVADO;3a3517f48b6be60b7f3a037b5903a1ce;0.0;92127264.0;1239422;7.9;7.599999900000001;2.0;f;3.0
13;;APROVADO;3a3517f48b6be60b7f3a037b5903a1ce;0.0;92127264.0;1239422;7.9;8.39999962;2.0;f;1.0
14;;APROVADO;3a3517f48b6be60b7f3a037b5903a1ce;0.0;92127264.0;1239422;7.9;7.80000019;2.0;f;2.0
15;;REPROVADO;5dac5cab88de4928bbc3095150f768ff;0.0;92127264.0;1239422;4.4;4.19999981;14.0;f;1.0
16;;REPROVADO;5dac5cab88de4928bbc3095150f768ff;0.0;92127264.0;1239422;4.4;4.4000001;14.0;f;2.0
17;;REPROVADO;5dac5cab88de4928bbc3095150f768ff;0.0;92127264.0;1239422;4.4;4.5;14.0;f;3.0
18;;REPROVADO;8f1e25c53680d4d2ecfd4d6be7f4f4f0;0.0;92127264.0;1242743;2.2;4.5;8.0;f;1.0
19;;REPROVADO;8f1e25c53680d4d2ecfd4d6be7f4f4f0;0.0;92127264.0;1242743;2.2;2.0999999;8.0;f;2.0
20;;REPROVADO;8f1e25c53680d4d2ecfd4d6be7f4f4f0;0.0;92127264.0;1242743;2.2;0.0;8.0;f;3.0
21;;APROVADO;f28e052d0580964522fc2df687450a3d;0.0;92127264.0;1239874;9.9;9.80000019;0.0;f;1.0
22;;APROVADO;f28e052d0580964522fc2df687450a3d;0.0;92127264.0;1239874;9.9;10.0;0.0;f;2.0
23;;APROVADO;f28e052d0580964522fc2df687450a3d;0.0;92127264.0;1239874;9.9;9.89999962;0.0;f;3.0
24;;APROVADO;00d23d8801e80f5326f9409bc1edee9b;0.0;92127264.0;1239874;8.4;9.80000019;4.0;f;1.0
25;;APROVADO;00d23d8801e80f5326f9409bc1edee9b;0.0;92127264.0;1239874;8.4;7.400000099999999;4.0;f;2.0
